exp_name,analysis,model,structure,model_type,masking,k,epochs,lr,hidden_dim,dropout,weight_decay,patience,test_ratio,seed,neg_split,aupr,auroc,precision,recall,f1,baseline_aupr,improvement,best_epoch,training_time_sec,use_topo_features,input_features,weighted_tf,use_arc_features,curriculum,curriculum_phase1_ratio,curriculum_patience,curriculum_sigmoid,curriculum_sigmoid_midpoint,curriculum_sigmoid_temp,online_mining,online_mining_freq,online_mining_k,online_mining_sample,online_mining_warmup
DREAM5_Community,,Community (Ensemble),,,,,,,,,,,,,,0.327,0.809,,,,,3.6,,,,,,,,,,,,,,,,,
DREAM5_Best_Regression,,Best Regression DREAM5,,,,,,,,,,,,,,0.313,0.764,,,,,3.44,,,,,,,,,,,,,,,,,
DREAM5_TIGRESS,,TIGRESS (Regression),,,,,,,,,,,,,,0.301,0.782,,,,,3.31,,,,,,,,,,,,,,,,,
DREAM5_GENIE3,,GENIE3 (Random Forest),,,,,,,,,,,,,,0.291,0.815,,,,,3.2,,,,,,,,,,,,,,,,,
hgnn_curriculum_80,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Curriculum80,edge_prediction,hgnn,hard_stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.26607875149663274,0.9312751420686002,0.06845863082738345,0.8578947368421053,0.12679891092959938,0.014492753623188406,18.35943385326766,119.0,5.3,False,805.0,False,False,True,0.8,,,,,,,,,
hgnn_curriculum_70,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Curriculum70,edge_prediction,hgnn,hard_stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.26596985947547225,0.9224516253869969,0.06412583182093164,0.8368421052631579,0.11912343135418618,0.014492753623188406,18.351920303807585,105.0,4.9,False,805.0,False,False,True,0.7,,,,,,,,,
DREAM5_CLR,,CLR (Mutual Info),,,,,,,,,,,,,,0.255,0.773,,,,,2.8,,,,,,,,,,,,,,,,,
hgnn_curriculum_70_varp,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Curriculum70_VarP,edge_prediction,hgnn,hard_stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.25343557911853287,0.9220978414738472,0.06877847689303536,0.8342105263157895,0.1270795750651433,0.014492753623188406,17.487054959178767,105.0,5.9,False,805.0,False,False,True,0.7,"10,25,20",,,,,,,,
edge_hgnn_stratified,hgnn_edge_stratified,HGNN_Edge_Stratified,edge_prediction,hgnn,stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.24672101221451917,0.9254113497026235,0.0650722471350274,0.8592105263157894,0.12098193608151922,0.014492753623188406,17.023749842801823,100.0,3.9,,,,,,,,,,,,,,,
edge_hgnn_stratified_topo,hgnn_edge_stratified,HGNN_Edge_Stratified_Topo,edge_prediction,hgnn,stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.24035777531524988,0.9194705016701971,0.0631652243111509,0.8355263157894737,0.11745121612873394,0.014492753623188406,16.58468649675224,100.0,4.0,True,807.0,False,False,False,,,,,,,,,,
hgnn_curriculum_60,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Curriculum60,edge_prediction,hgnn,hard_stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.240156270112874,0.9196972767638911,0.06651182432432433,0.8289473684210527,0.12314308053166537,0.014492753623188406,16.570782637788305,90.0,4.7,False,805.0,False,False,True,0.6,,,,,,,,,
hgnn_arc_features,hgnn_edge_stratified,HGNN_Edge_Stratified_ArcFeat,edge_prediction,hgnn,stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.23617320833939057,0.9176888010224866,0.06197155078086143,0.8197368421052632,0.11523166558771848,0.014492753623188406,16.29595137541795,100.0,3.8,False,805.0,False,True,False,,,,,,,,,,
hgnn_curriculum_70_arc,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_ArcFeat_Curriculum70,edge_prediction,hgnn,hard_stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.2276500212899934,0.9223737295299006,0.06791720569210867,0.8289473684210527,0.12554802710243124,0.014492753623188406,15.707851469009544,105.0,5.3,False,805.0,False,True,True,0.7,,,,,,,,,
edge_hgnn_random,hgnn_edge_random,HGNN_Edge_Random,edge_prediction,hgnn,random,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.22649719050569106,0.9093886032644596,0.06568527918781726,0.8057285180572852,0.12146813104289872,0.014492753623188406,15.628306144892683,100.0,3.6,,,,,,,,,,,,,,,
hgnn_curriculum_sigmoid,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Sigmoid75,edge_prediction,hgnn,hard_stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.22393557700674344,0.9096585643433274,0.07940817157594679,0.7697368421052632,0.14396456256921372,0.014492753623188406,15.451554813465297,75.0,14.0,False,805.0,False,False,False,0.33,,True,0.75,10.0,,,,,
hgnn_curriculum_60_ep200,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Curriculum60,edge_prediction,hgnn,hard_stratified,10.0,200.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.22026544155132805,0.9246563747555809,0.062214611872146115,0.8605263157894737,0.11603974449964514,0.014492753623188406,15.198315467041635,116.0,5.4,False,805.0,False,False,True,0.6,,,,,,,,,
hgnn_online_mining_w60,hgnn_edge_stratified,HGNN_Edge_Stratified_OnlineMining10W60,edge_prediction,hgnn,stratified,10.0,150.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.20779605621423944,0.8920311736190321,0.060677376445308503,0.7802631578947369,0.11259849995253014,0.014492753623188406,14.337927878782521,60.0,3.7,False,805.0,False,False,False,0.33,,False,0.75,10.0,True,10.0,0.0,50000.0,60.0
gcn_rosario_k10,gcn_statistical,GCN_Statistical,statistical,gcn,,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.203444782661738,0.8657634869167368,0.07471798274717983,0.701120797011208,0.13504437514991605,0.014492753623188406,14.037690003659922,99.0,3.7,,,,,,,,,,,,,,,
hgnn_rosario_k10,hgnn_statistical,HGNN_Statistical,statistical,hgnn,,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.18417811286895075,0.8604072040302314,0.0653138168108228,0.7334993773349938,0.11994705223500662,0.014492753623188406,12.708289787957602,100.0,3.8,,,,,,,,,,,,,,,
gcn_baseline,gcn_gold,GCN,gold_standard,gcn,,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.1509514962159409,0.8023948359354567,0.06357717349674455,0.6201743462017435,0.11533117183881426,0.014492753623188406,10.415653238899921,99.0,3.6,,,,,,,,,,,,,,,
edge_gcn_stratified,gcn_edge_stratified,GCN_Edge_Stratified,edge_prediction,gcn,stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.15086631189263022,0.8377599753544076,0.06771752837326608,0.7065789473684211,0.123590333716916,0.014492753623188406,10.409775520591484,99.0,3.7,,,,,,,,,,,,,,,
hgnn_curriculum,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified_Curriculum,edge_prediction,hgnn,hard_stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.14335320062592316,0.8537584782874368,0.06272031117053604,0.6789473684210526,0.11483253588516747,0.014492753623188406,9.891370843188698,33.0,3.4,False,805.0,False,False,True,,,,,,,,,,
edge_gcn_random,gcn_edge_random,GCN_Edge_Random,edge_prediction,gcn,random,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.1348097909211561,0.7903905401809365,0.06159420289855073,0.613947696139477,0.11195639831951856,0.014492753623188406,9.301875573559771,99.0,3.7,,,,,,,,,,,,,,,
exp05_patience05,hgnn_gold,HGNN,gold_standard,hgnn,,10.0,100.0,0.001,128.0,0.5,0.0005,5.0,0.2,42.0,opzione_B,0.07441363056308217,0.659572013709851,0.03598740440845704,0.49813200498132004,0.06712535660345696,0.014492753623188406,5.13454050885267,98.0,3.6,,,,,,,,,,,,,,,
exp02_dropout06,hgnn_gold,HGNN,gold_standard,hgnn,,10.0,100.0,0.001,128.0,0.6,0.0005,10.0,0.2,42.0,opzione_B,0.06857513282837274,0.6648589304101269,0.036810384793694945,0.4943960149439601,0.06851915774939593,0.014492753623188406,4.731684165157719,100.0,3.5,,,,,,,,,,,,,,,
exp01_baseline,hgnn_gold,HGNN,gold_standard,hgnn,,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.068403331203634,0.6639247390449319,0.03573618288517123,0.5080946450809465,0.06677577741407528,0.014492753623188406,4.719829853050745,99.0,3.7,,,,,,,,,,,,,,,
hgnn_edge_hard_stratified,hgnn_edge_hard_stratified,HGNN_Edge_Hard_Stratified,edge_prediction,hgnn,hard_stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.06769588106082819,0.8250267587990875,0.035867925582434776,0.8447368421052631,0.06881397716919449,0.014492753623188406,4.671015793197145,100.0,4.3,,,,,,,,,,,,,,,
exp07_best,hgnn_gold,HGNN,gold_standard,hgnn,,10.0,200.0,0.001,128.0,0.6,0.001,15.0,0.2,42.0,opzione_B,0.06712884517010717,0.6606132705234282,0.037813399095766545,0.45828144458281445,0.0698623635500712,0.014492753623188406,4.631890316737395,200.0,5.4,,,,,,,,,,,,,,,
exp03_dropout07,hgnn_gold,HGNN,gold_standard,hgnn,,10.0,100.0,0.001,128.0,0.7,0.0005,10.0,0.2,42.0,opzione_B,0.0669923520609014,0.6629127430621726,0.0418366279677858,0.49813200498132004,0.0771902740254728,0.014492753623188406,4.622472292202197,100.0,3.6,,,,,,,,,,,,,,,
hgnn_weighted_tf,hgnn_edge_stratified,HGNN_Edge_Stratified_WeightedTF,edge_prediction,hgnn,stratified,10.0,100.0,0.001,128.0,0.5,0.0005,10.0,0.2,42.0,opzione_B,0.06535427471794884,0.8203242244785726,0.037348335931674914,0.725,0.07103719461097144,0.014492753623188406,4.50944495553847,100.0,3.7,False,805.0,True,False,False,,,,,,,,,,
