feature,importance,group
Exp_556,0.004570453,expression
Exp_637,0.004381178,expression
Exp_409,0.004375723,expression
Exp_111,0.0042979503,expression
Exp_638,0.004289987,expression
Exp_475,0.004278721,expression
Entropia_norm,0.0039088186,topo
Exp_32,0.0038309665,expression
Exp_610,0.0037175217,expression
Exp_35,0.0036715462,expression
Exp_644,0.003542688,expression
Exp_314,0.003466981,expression
Exp_604,0.0034471697,expression
Exp_237,0.0034366518,expression
Exp_451,0.0034347912,expression
Exp_597,0.0032972875,expression
Exp_611,0.0032834192,expression
Exp_607,0.0032389897,expression
Exp_21,0.0032249829,expression
Exp_778,0.0031767236,expression
Exp_407,0.003154259,expression
Exp_154,0.0031364472,expression
Exp_805,0.003133252,expression
Exp_695,0.003129203,expression
Exp_452,0.0030912694,expression
Exp_798,0.0030874107,expression
Exp_333,0.0030651218,expression
Exp_612,0.003059102,expression
Exp_36,0.0030483743,expression
Exp_609,0.003031447,expression
Exp_336,0.0030236894,expression
Exp_608,0.0029489554,expression
Exp_721,0.0029419544,expression
Exp_38,0.0029245494,expression
Exp_620,0.0029214597,expression
Exp_126,0.0029095614,expression
Exp_48,0.0029032514,expression
Exp_363,0.002881861,expression
Exp_100,0.0028141777,expression
Exp_603,0.0028035904,expression
Exp_44,0.0027411154,expression
Exp_585,0.0027337412,expression
Exp_477,0.002728963,expression
Exp_334,0.0027178281,expression
Exp_742,0.0027108027,expression
Exp_292,0.0027085736,expression
Exp_767,0.0026945658,expression
Exp_652,0.0026688203,expression
Exp_7,0.0026636326,expression
Exp_23,0.0026634713,expression
Exp_728,0.0026266042,expression
Exp_636,0.0026142546,expression
Exp_238,0.0025839196,expression
Exp_666,0.0025781444,expression
Exp_138,0.0025729719,expression
Exp_259,0.0025626738,expression
Exp_66,0.002558631,expression
Exp_15,0.002550662,expression
Exp_385,0.0025248693,expression
Exp_621,0.002513611,expression
Exp_216,0.0025104545,expression
Exp_525,0.0025047325,expression
Exp_362,0.0024950826,expression
Exp_291,0.0024748037,expression
Exp_698,0.002464311,expression
Exp_803,0.002425204,expression
Exp_236,0.0024223768,expression
Exp_474,0.0024092814,expression
Exp_772,0.0023965684,expression
Exp_380,0.0023965174,expression
Exp_14,0.002381902,expression
Exp_555,0.0023771091,expression
Exp_649,0.0023651596,expression
Exp_113,0.0023443783,expression
Exp_421,0.0023376795,expression
Exp_4,0.0023306473,expression
Exp_371,0.0023121324,expression
Exp_133,0.0023100206,expression
Exp_346,0.002281684,expression
Exp_104,0.0022699018,expression
Exp_747,0.0022642964,expression
Exp_782,0.0022512027,expression
Exp_318,0.0022354147,expression
Exp_639,0.0022322603,expression
Exp_303,0.0022209128,expression
Exp_768,0.002174735,expression
Exp_441,0.0021725076,expression
Exp_78,0.0021673718,expression
Exp_49,0.0021412808,expression
Exp_795,0.0021404512,expression
Exp_80,0.0021381823,expression
Exp_327,0.0021374088,expression
Exp_601,0.0021343871,expression
Exp_343,0.0021339273,expression
Exp_65,0.002132346,expression
Grado_norm,0.0021306735,topo
Exp_744,0.0021283864,expression
Exp_117,0.0021145046,expression
Exp_588,0.0020969762,expression
Exp_662,0.002083417,expression
Exp_593,0.002080591,expression
Exp_618,0.0020788,expression
Exp_77,0.0020746265,expression
Exp_455,0.0020739196,expression
Exp_431,0.0020706675,expression
Exp_424,0.0020647328,expression
Exp_325,0.0020636052,expression
Exp_685,0.0020631247,expression
Exp_786,0.0020561193,expression
Exp_33,0.0020495423,expression
Exp_6,0.0020482868,expression
Exp_252,0.0020392989,expression
Exp_92,0.002037265,expression
Exp_96,0.0020362232,expression
Exp_98,0.0020348607,expression
Exp_494,0.002033688,expression
Exp_605,0.0020312343,expression
Exp_736,0.0020300404,expression
Exp_18,0.002017297,expression
Exp_781,0.002015966,expression
Exp_545,0.0020158312,expression
Exp_756,0.002007182,expression
Exp_130,0.001993716,expression
Exp_625,0.001989481,expression
Exp_67,0.0019892673,expression
Exp_777,0.0019891723,expression
Exp_746,0.0019864403,expression
Exp_274,0.0019656608,expression
Exp_31,0.0019653318,expression
Exp_629,0.0019552924,expression
Exp_27,0.0019375561,expression
Exp_22,0.0019318168,expression
Exp_235,0.0019279286,expression
Exp_678,0.0019202427,expression
Exp_522,0.0019177812,expression
Exp_653,0.0019125212,expression
Exp_439,0.0018989894,expression
Exp_491,0.001894559,expression
Exp_189,0.0018936135,expression
Exp_24,0.001882961,expression
Exp_712,0.0018764455,expression
Exp_152,0.0018692936,expression
Exp_510,0.0018599388,expression
Exp_129,0.0018588841,expression
Exp_174,0.0018550396,expression
Exp_415,0.0018482486,expression
Exp_573,0.0018353888,expression
Exp_667,0.0018287388,expression
Exp_783,0.0018237698,expression
Exp_282,0.0018204444,expression
Exp_56,0.0018170447,expression
Exp_204,0.0018123914,expression
Exp_245,0.0018063696,expression
Exp_321,0.0017966005,expression
Exp_231,0.001785546,expression
Exp_368,0.0017854784,expression
Exp_449,0.0017805148,expression
Exp_732,0.0017759982,expression
Exp_770,0.0017735752,expression
Exp_127,0.0017430534,expression
Exp_552,0.0017296586,expression
