gene,degree,entropy
G119,12.0,3.5849626
G796,11.0,3.459432
G115,11.0,3.4594321
G1203,10.0,3.321928
G814,10.0,3.321928
G851,10.0,3.3219283
G1375,9.0,3.169925
G1333,9.0,3.169925
G1107,9.0,3.169925
G934,9.0,3.169925
G1601,9.0,3.169925
G1230,9.0,3.169925
G1364,9.0,3.169925
G343,9.0,3.169925
G784,9.0,3.169925
G129,9.0,3.169925
G1421,9.0,3.169925
G886,9.0,3.169925
G394,9.0,3.169925
G1306,9.0,3.169925
G778,8.0,3.0
G1428,8.0,3.0
G766,8.0,3.0
G1236,8.0,3.0
G250,8.0,3.0
G1221,8.0,3.0
G1195,8.0,3.0
G842,8.0,3.0
G1206,7.0,2.8073552
G490,7.0,2.807355
G292,7.0,2.807355
G445,7.0,2.8073552
G1466,7.0,2.8073552
G592,7.0,2.8073552
G1189,7.0,2.807355
G280,7.0,2.807355
G1235,7.0,2.807355
G915,7.0,2.807355
G1586,7.0,2.807355
G887,7.0,2.807355
G443,7.0,2.8073552
G1263,7.0,2.807355
G530,7.0,2.807355
G896,7.0,2.807355
G1250,7.0,2.807355
G1153,7.0,2.807355
G1144,7.0,2.807355
G1252,7.0,2.807355
G1296,7.0,2.807355
G465,7.0,2.807355
G745,7.0,2.8073552
G1281,7.0,2.8073552
G1297,7.0,2.807355
G729,7.0,2.8073552
G952,7.0,2.807355
G319,7.0,2.807355
G316,7.0,2.8073552
G1618,7.0,2.8073552
G1550,7.0,2.807355
G1316,7.0,2.807355
G1558,7.0,2.807355
G988,6.0,2.5849624
G203,6.0,2.5849626
G884,6.0,2.5849624
G1211,6.0,2.5849624
G1540,6.0,2.5849624
G1536,6.0,2.5849624
G1505,6.0,2.5849624
G964,6.0,2.5849626
G1240,6.0,2.5849624
G1533,6.0,2.5849624
G1238,6.0,2.5849624
G1357,6.0,2.5849624
G951,6.0,2.5849624
G949,6.0,2.5849624
G933,6.0,2.5849624
G1233,6.0,2.5849626
G926,6.0,2.5849624
G1519,6.0,2.5849626
G510,6.0,2.5849624
G1492,6.0,2.5849624
G644,6.0,2.5849624
G1278,6.0,2.5849624
G755,6.0,2.5849626
G747,6.0,2.5849624
G1288,6.0,2.5849624
G348,6.0,2.5849626
G1289,6.0,2.5849624
G1418,6.0,2.5849624
G727,6.0,2.5849624
G629,6.0,2.5849624
G723,6.0,2.5849626
G363,6.0,2.5849626
G697,6.0,2.5849624
G1310,6.0,2.5849626
G388,6.0,2.5849626
G1322,6.0,2.5849624
G675,6.0,2.5849624
G758,6.0,2.5849626
G1332,6.0,2.5849626
G869,6.0,2.5849626
G251,6.0,2.5849624
G867,6.0,2.5849624
G447,6.0,2.5849624
G1491,6.0,2.5849624
G235,6.0,2.5849624
G850,6.0,2.5849626
G1342,6.0,2.5849624
G244,6.0,2.5849624
G828,6.0,2.5849624
G775,6.0,2.5849626
G824,6.0,2.5849624
G1470,6.0,2.5849624
G282,6.0,2.5849624
G615,6.0,2.5849624
G793,6.0,2.5849626
G293,6.0,2.5849626
G1461,6.0,2.5849626
G254,6.0,2.5849624
G889,6.0,2.5849624
G1369,6.0,2.5849624
G1559,6.0,2.5849624
G1014,6.0,2.5849624
G1192,6.0,2.5849624
G1581,6.0,2.5849624
G1044,6.0,2.5849626
G1585,6.0,2.5849626
G1055,6.0,2.5849624
G1063,6.0,2.5849626
G1064,6.0,2.5849626
G540,6.0,2.5849624
G1169,6.0,2.5849624
G495,6.0,2.5849624
G1600,6.0,2.5849624
G1602,6.0,2.5849626
G1086,6.0,2.5849624
G1087,6.0,2.5849624
G1154,6.0,2.5849624
G1116,6.0,2.5849624
G1123,6.0,2.5849624
G505,6.0,2.5849626
