tf,degree
G120,432.0
G84,279.0
G141,219.0
G194,219.0
G171,219.0
G121,161.0
G136,137.0
G176,115.0
G187,96.0
G110,88.0
G78,84.0
G119,81.0
G115,80.0
G182,57.0
G48,54.0
G160,50.0
G13,48.0
G11,48.0
G43,41.0
G100,37.0
G44,37.0
G95,37.0
G52,34.0
G92,33.0
G126,31.0
G165,30.0
G101,29.0
G144,28.0
G129,28.0
G16,25.0
G8,25.0
G170,23.0
G12,22.0
G88,22.0
G156,20.0
G37,19.0
G83,18.0
G122,18.0
G133,18.0
G91,16.0
G138,15.0
G71,15.0
G1,15.0
G35,14.0
G128,14.0
G99,14.0
G51,13.0
G58,13.0
G59,13.0
G75,13.0
G32,13.0
G134,13.0
G68,13.0
G2,12.0
G109,12.0
G116,12.0
G137,12.0
G192,12.0
G97,11.0
G66,11.0
G140,11.0
G158,11.0
G184,11.0
G195,11.0
G50,11.0
G23,11.0
G63,11.0
G49,11.0
G39,11.0
G169,10.0
G96,10.0
G161,10.0
G41,10.0
G38,10.0
G135,10.0
G142,10.0
G150,9.0
G36,9.0
G123,9.0
G188,9.0
G45,9.0
G167,9.0
G164,9.0
G118,8.0
G143,8.0
G152,8.0
G111,8.0
G19,8.0
G26,8.0
G163,8.0
G98,8.0
G3,8.0
G90,8.0
G76,8.0
G87,8.0
G86,8.0
G69,7.0
G186,7.0
G132,7.0
G80,7.0
G191,7.0
G4,7.0
G127,7.0
G57,7.0
G28,7.0
G42,7.0
G168,7.0
G139,6.0
G117,6.0
G149,6.0
G74,6.0
G64,6.0
G10,6.0
G34,6.0
G173,6.0
G14,6.0
G24,6.0
G177,6.0
G73,6.0
G112,6.0
G15,6.0
G21,6.0
G155,6.0
G131,5.0
G53,5.0
G22,5.0
G146,5.0
G31,5.0
G82,5.0
G107,5.0
G145,4.0
G20,4.0
G185,4.0
G183,4.0
G151,4.0
G180,4.0
G154,4.0
G179,4.0
G178,4.0
G6,4.0
G130,4.0
G113,4.0
G79,4.0
G105,4.0
G30,4.0
G125,4.0
G70,4.0
G62,4.0
G33,4.0
G72,4.0
G108,4.0
G93,3.0
G174,3.0
G55,3.0
G7,3.0
G25,3.0
G77,3.0
G5,3.0
G104,3.0
G189,3.0
G193,3.0
G103,3.0
G94,3.0
G162,3.0
G159,3.0
G106,3.0
G65,3.0
G81,2.0
G175,2.0
G102,2.0
G85,2.0
G153,2.0
G54,2.0
G17,2.0
G147,1.0
G181,1.0
G27,1.0
G18,1.0
G29,0.0
G67,0.0
G148,0.0
G61,0.0
G190,0.0
G124,0.0
G114,0.0
G47,0.0
G40,0.0
G60,0.0
G166,0.0
G56,0.0
G9,0.0
G46,0.0
G89,0.0
G172,0.0
G157,0.0
